,Data,#Samples,# Dimensions,Outlier Perc,MO-GAAL,SO-GAAL,AutoEncoder,VAE,AnoGAN,DeepSVDD,ALAD,AE1SVM,DevNet,LUNAR
0,arrhythmia,452,274,14.6018,0.3214,0.2857,0.3929,0.4286,0.4643,0.3929,0.0357,0.3929,0.0714,0.4643
0,cardio,1831,21,9.6122,0.2,0.4143,0.3,0.6571,0.3429,0.5,0.2429,0.5571,0.0,0.2143
0,glass,214,9,4.2056,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.2
0,ionosphere,351,33,35.8974,0.5217,0.413,0.587,0.4783,0.4348,0.4783,0.3261,0.4565,0.5,0.8043
0,letter,1600,32,6.25,0.0488,0.05,0.2439,0.0732,0.0488,0.0488,0.0732,0.122,0.1951,0.4146
0,lympho,148,18,4.0541,0.3333,0.3333,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,0.0,0.6667
0,mnist,7603,100,9.2069,0.1963,0.2852,0.3741,0.4519,0.2519,0.2704,0.0963,0.3852,0.0704,0.337
0,musk,3062,166,3.1679,0.0976,0.0,0.3659,1.0,0.0976,0.4146,0.0244,1.0,0.9268,0.1951
0,optdigits,5216,64,2.8758,0.1385,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0,0.0462
0,pendigits,6870,16,2.2707,0.0,0.0455,0.0484,0.3065,0.0161,0.0484,0.0484,0.2419,0.0,0.129
0,pima,768,8,34.8958,0.2212,0.1681,0.5752,0.4867,0.5487,0.5133,0.3805,0.4779,0.2743,0.5575
0,satellite,6435,36,31.6395,0.5111,0.4059,0.4951,0.5603,0.5542,0.4163,0.3214,0.5591,0.383,0.431
0,satimage-2,5803,36,1.2235,0.0,0.0,0.3226,0.7097,0.6129,0.5161,0.0645,0.6129,0.0,0.2903
0,shuttle,49097,9,7.1511,0.6092,0.0,0.9068,0.957,0.9591,0.9527,0.2399,0.9245,0.0064,0.1934
0,vertebral,240,6,12.5,0.1429,0.1429,0.0,0.1429,0.2143,0.0,0.2143,0.1429,0.2143,0.0
0,vowels,1456,12,3.4341,0.0,0.0,0.4545,0.2727,0.0,0.0909,0.0,0.3636,0.0,0.5455
0,wbc,378,30,5.5556,0.0,0.0,0.5,0.6,0.6,0.5,0.0,0.5,0.0,0.4
