,Data,AutoEncoder,LUNAR,without note,with note,Average_Performance
0,arrhythmia,0.8116,0.8284,0.8176,0.8176,0.66415
1,cardio,0.7847,0.5704,0.7255,0.7847,0.69021
2,glass,0.5901,0.7926,0.7926,0.7926,0.54024
3,ionosphere,0.7851,0.9156,0.7675,0.9156,0.7108000000000001
4,letter,0.8087,0.9057,0.5884,0.5884,0.5763199999999999
5,lympho,0.9825,0.9357,0.9357,0.9649,0.72691
6,mnist,0.8567,0.7411,0.8567,0.9002,0.6943
7,musk,0.8853,0.7666,1.0,0.8853,0.77917
8,optdigits,0.5124,0.4836,0.5124,0.5074,0.5601299999999999
9,pendigits,0.6687,0.6973,0.9273,0.7824,0.67171
10,pima,0.7189,0.7177,0.7177,0.6013,0.5411699999999999
11,satellite,0.6431,0.6179,0.7419,0.6431,0.6348999999999999
12,satimage-2,0.8684,0.8161,0.9948,0.8684,0.8842700000000002
13,shuttle,0.9939,0.641,0.9947,0.9939,0.79559
14,vertebral,0.324,0.2552,0.4172,0.4172,0.4660100000000001
15,vowels,0.9305,0.946,0.7489,0.9305,0.6199299999999999
16,wbc,0.9556,0.9042,0.9042,0.9218,0.62985
