,Unnamed: 0,Data,#Samples,# Dimensions,Outlier Perc,MO-GAAL,SO-GAAL,AutoEncoder,VAE,AnoGAN,DeepSVDD,ALAD,AE1SVM,DevNet,LUNAR,Average_Performance,without_note_modes,with_note_modes,without note,with note
0,0,arrhythmia,452,274,14.6018,0.616,0.5661,0.8116,0.8176,0.7946,0.7554,0.4232,0.8176,0.211,0.8284,0.66415,VAE,AE1SVM,0.8176,0.8176
1,0,cardio,1831,21,9.6122,0.5603,0.7255,0.7847,0.9615,0.8004,0.934,0.6025,0.9125,0.0503,0.5704,0.69021,SO-GAAL,AutoEncoder,0.7255,0.7847
2,0,glass,214,9,4.2056,0.4247,0.3975,0.5901,0.6099,0.6765,0.4,0.2667,0.6864,0.558,0.7926,0.54024,LUNAR,LUNAR,0.7926,0.7926
3,0,ionosphere,351,33,35.8974,0.6751,0.5908,0.7851,0.7675,0.66,0.7535,0.5046,0.773,0.6828,0.9156,0.7108000000000001,VAE,LUNAR,0.7675,0.9156
4,0,letter,1600,32,6.25,0.3489,0.3074,0.8087,0.5884,0.5223,0.5133,0.4811,0.5883,0.6991,0.9057,0.5763199999999999,VAE,VAE,0.5884,0.5884
5,0,lympho,148,18,4.0541,0.5263,0.3918,0.9825,0.9825,0.9825,0.8421,0.6374,0.9649,0.0234,0.9357,0.72691,LUNAR,AE1SVM,0.9357,0.9649
6,0,mnist,7603,100,9.2069,0.6122,0.6926,0.8567,0.9002,0.6688,0.7207,0.4786,0.8721,0.4,0.7411,0.6943,AutoEncoder,VAE,0.8567,0.9002
7,0,musk,3062,166,3.1679,0.5686,0.4388,0.8853,1.0,0.806,0.9505,0.3772,1.0,0.9987,0.7666,0.77917,AE1SVM,AutoEncoder,1.0,0.8853
8,0,optdigits,5216,64,2.8758,0.6552,0.4641,0.5124,0.5074,0.8159,0.5199,0.494,0.4455,0.7033,0.4836,0.5601299999999999,AutoEncoder,VAE,0.5124,0.5074
9,0,pendigits,6870,16,2.2707,0.6974,0.5114,0.6687,0.9273,0.8492,0.7824,0.569,0.9097,0.1047,0.6973,0.67171,VAE,Deep SVDD,0.9273,
10,0,pima,768,8,34.8958,0.2915,0.2593,0.7189,0.6112,0.6403,0.6713,0.5437,0.6013,0.3565,0.7177,0.5411699999999999,LUNAR,AE1SVM,0.7177,0.6013
11,0,satellite,6435,36,31.6395,0.6742,0.5679,0.6431,0.7419,0.7241,0.5839,0.5014,0.7522,0.5424,0.6179,0.6348999999999999,VAE,AutoEncoder,0.7419,0.6431
12,0,satimage-2,5803,36,1.2235,0.9693,0.8797,0.8684,0.9948,0.9667,0.9667,0.5848,0.9922,0.804,0.8161,0.8842700000000002,VAE,AutoEncoder,0.9948,0.8684
13,0,shuttle,49097,9,7.1511,0.9085,0.7012,0.9939,0.9947,0.9866,0.9935,0.649,0.99,0.0975,0.641,0.79559,VAE,AutoEncoder,0.9947,0.9939
14,0,vertebral,240,6,12.5,0.5409,0.6524,0.324,0.4172,0.6838,0.2587,0.4869,0.4434,0.5976,0.2552,0.4660100000000001,VAE,VAE,0.4172,0.4172
15,0,vowels,1456,12,3.4341,0.1879,0.3373,0.9305,0.7489,0.5153,0.6694,0.3423,0.7626,0.7591,0.946,0.6199299999999999,VAE,AutoEncoder,0.7489,0.9305
16,0,wbc,378,30,5.5556,0.062,0.131,0.9556,0.9218,0.9437,0.9197,0.4408,0.9296,0.0901,0.9042,0.62985,LUNAR,VAE,0.9042,0.9218
